benchmark,time,ratio
500.perlbench_r,454,3.51
502.gcc_r,271,5.23
505.mcf_r,399,4.05
520.omnetpp_r,525,2.50
523.xalancbmk_r,341,3.10
525.x264_r,158,11.08
531.deepsjeng_r,381,3.01
541.leela_r,699,2.37
548.exchange2_r,237,11.05
557.xz_r,554,1.95
int_rate,0,3.97
503.bwaves_r,10028,1.00
507.cactuBSSN_r,1266,1.00
508.namd_r,219,4.34
510.parest_r,2616,1.00
511.povray_r,484,4.82
519.lbm_r,224,4.71
521.wrf_r,2240,1.00
526.blender_r,340,4.48
527.cam4_r,1749,1.00
538.imagick_r,474,5.25
544.nab_r,275,6.12
549.fotonik3d_r,3897,1.00
554.roms_r,1589,1.00
fp_rate,0,2.09
